"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"aillors" 0.02 0.04 0 0.02
"aimée" 0.02 0 0.04 0.02
"ainçois" 0.06 0 0.02 0
"alai" 0.04 0.04 0 0
"aller" 0 0.04 0 0.04
"amée" 0.02 0 0.04 0.02
"amer" 0.02 0 0.04 0.02
"apelée" 0.06 0.02 0 0
"assaut" 0 0.02 0 0.06
"aucune" 0 0.04 0.02 0.02
"auques" 0.04 0.04 0 0
"aurés" 0 0 0.04 0.04
"beauté" 0.02 0.04 0 0.02
"blanc" 0 0.04 0.04 0
"bonheur" 0.02 0.04 0.02 0
"cache" 0.02 0 0.02 0.04
"ceinture" 0 0.02 0.04 0.02
"celer" 0 0 0 0.08
"celle" 0.06 0 0.02 0
"cet" 0.02 0.02 0 0.04
"ceux" 0.02 0 0.02 0.04
"chans" 0.02 0.06 0 0
"char" 0 0.04 0.04 0
"cheveus" 0 0.04 0.04 0
"claire" 0.06 0.02 0 0
"clamée" 0.02 0 0.04 0.02
"clere" 0.06 0.02 0 0
"coeurs" 0.04 0 0.04 0
"compaignie" 0 0.04 0.04 0
"compains" 0 0 0.06 0.02
"conseil" 0 0 0 0.08
"conte" 0 0 0.04 0.04
"convient" 0.04 0 0.02 0.02
"couche" 0 0 0 0.08
"couleur" 0.04 0.04 0 0
"court" 0.02 0.02 0.04 0
"créature" 0.06 0.02 0 0
"croire" 0.06 0 0 0.02
"cure" 0 0 0.04 0.04
"deffendre" 0 0 0.02 0.06
"déjà" 0.04 0 0.02 0.02
"digne" 0.04 0 0 0.04
"divers" 0.02 0.02 0.04 0
"dix" 0 0 0.08 0
"donc" 0 0.02 0 0.06
"dort" 0 0 0.04 0.04
"eau" 0.08 0 0 0
"estoie" 0.06 0.02 0 0
"estroit" 0 0.04 0.02 0.02
"estuet" 0.06 0.02 0 0
"faut" 0.02 0 0.04 0.02
"ferme" 0.02 0.02 0 0.04
"flamme" 0 0 0.04 0.04
"forment" 0.02 0.02 0.02 0.02
"foule" 0 0 0.08 0
"frais" 0 0.08 0 0
"froidure" 0.06 0.02 0 0
"front" 0.02 0.06 0 0
"fus" 0.02 0.06 0 0
"gans" 0 0.08 0 0
"garantir" 0 0 0.06 0.02
"haute" 0.02 0.04 0.02 0
"hercules" 0 0 0.08 0
"images" 0.06 0.02 0 0
"incontinent" 0 0.02 0.02 0.04
"jadis" 0.06 0.02 0 0
"jason" 0 0 0.08 0
"joer" 0 0.06 0.02 0
"jouer" 0.02 0.04 0.02 0
"jura" 0 0 0 0.08
"karoles" 0 0 0.08 0
"laide" 0.04 0 0 0.04
"lit" 0.08 0 0 0
"livre" 0 0.02 0 0.06
"long" 0 0.04 0.02 0.02
"longtemps" 0.02 0 0.04 0.02
"lorsque" 0.02 0 0.02 0.04
"maladie" 0 0 0 0.08
"malement" 0 0 0.06 0.02
"malheur" 0.02 0 0.04 0.02
"malice" 0.02 0 0 0.06
"manches" 0.04 0.04 0 0
"mauvais" 0.04 0.02 0 0.02
"méismes" 0.02 0 0.02 0.04
"merci" 0 0.02 0.02 0.04
"mère" 0 0 0.08 0
"mesure" 0.02 0.04 0.02 0
"met" 0 0 0.08 0
"metre" 0.02 0 0.04 0.02
"monte" 0.02 0 0.06 0
"mortel" 0 0.04 0.02 0.02
"mot" 0 0.04 0 0.04
"nez" 0.02 0.06 0 0
"noient" 0.06 0 0.02 0
"nom" 0.04 0.02 0 0.02
"nouvelle" 0.02 0 0.02 0.04
"oïr" 0.04 0.02 0.02 0
"oiselets" 0.04 0.04 0 0
"oiseuse" 0 0.08 0 0
"oisillons" 0 0.08 0 0
"ouïs" 0 0.08 0 0
"ouvrit" 0 0.08 0 0
"papelardie" 0.08 0 0 0
"parent" 0.04 0 0.04 0
"paroles" 0 0 0.04 0.04
"peine" 0.02 0 0.02 0.04
"petit" 0.06 0.02 0 0
"peu" 0.02 0.02 0 0.04
"pié" 0.04 0.02 0.02 0
"pied" 0.04 0.02 0.02 0
"plaisir" 0 0.06 0.02 0
"pleine" 0.04 0.02 0 0.02
"porroit" 0.02 0 0 0.06
"pot" 0 0 0.04 0.04
"pouvait" 0.06 0 0.02 0
"povre" 0.04 0.02 0 0.02
"povreté" 0 0.04 0.04 0
"premiere" 0.02 0.02 0.02 0.02
