"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"desdaing" 0.02 0 0 0
"desdaingne" 0 0 0.02 0
"desduit" 0 0 0.02 0
"deservir" 0 0 0 0.02
"desesperée" 0 0 0.02 0
"desguisée" 0 0.02 0 0
"desguisié" 0 0.02 0 0
"désillusion" 0 0 0.02 0
"desir" 0 0 0.02 0
"désirasse" 0 0.02 0 0
"deslot" 0 0 0 0.02
"désoler" 0.02 0 0 0
"despendra" 0 0 0.02 0
"despendre" 0 0 0.02 0
"despit" 0.02 0 0 0
"despite" 0 0.02 0 0
"despiteuse" 0.02 0 0 0
"desplaire" 0 0 0 0.02
"desplaise" 0 0 0.02 0
"desprisier" 0.02 0 0 0
"desrompoit" 0.02 0 0 0
"desrompuë" 0 0 0.02 0
"desrous" 0.02 0 0 0
"desroy" 0 0 0 0.02
"desrumpuë" 0.02 0 0 0
"desséché" 0.02 0 0 0
"dessin" 0 0.02 0 0
"destornée" 0 0 0 0.02
"destornés" 0 0 0 0.02
"destrece" 0.02 0 0 0
"destrecié" 0.02 0 0 0
"destrier" 0 0 0.02 0
"destroit" 0 0.02 0 0
"détestables" 0 0 0.02 0
"détourner" 0 0 0 0.02
"detrenche" 0.02 0 0 0
"detrenchier" 0 0 0.02 0
"détrenchier" 0 0 0 0.02
"détresse" 0.02 0 0 0
"déussent" 0 0 0 0.02
"devait" 0.02 0 0 0
"dévalise" 0.02 0 0 0
"devancera" 0.02 0 0 0
"dévéée" 0 0.02 0 0
"devenue" 0.02 0 0 0
"devenuë" 0.02 0 0 0
"devers" 0.02 0 0 0
"devez" 0 0 0.02 0
"devine" 0 0 0 0.02
"devisé" 0 0.02 0 0
"deviser" 0.02 0 0 0
"devisié" 0 0.02 0 0
"devisier" 0 0.02 0 0
"devoir" 0 0 0.02 0
"devoit" 0 0 0 0.02
"dévore" 0 0 0 0.02
"dévoyée" 0 0 0 0.02
"devraient" 0 0 0 0.02
"devroit-l" 0 0 0 0.02
"deyanira" 0 0 0.02 0
"di-ge" 0 0 0 0.02
"diableries" 0 0 0.02 0
"diables" 0 0 0.02 0
"diablesse" 0 0 0.02 0
"diaprée" 0.02 0 0 0
"diaus" 0.02 0 0 0
"diez" 0.02 0 0 0
"diffamaient" 0 0 0 0.02
"diffamoient" 0 0 0 0.02
"diligent" 0 0 0 0.02
"diligents" 0 0 0 0.02
"diorez" 0 0 0.02 0
"dirait" 0 0.02 0 0
"diré" 0.02 0 0 0
"dirés" 0 0 0.02 0
"dirés-vous" 0 0 0.02 0
"disait" 0 0 0.02 0
"discernement" 0 0 0 0.02
"discorde" 0 0 0.02 0
"dise" 0 0 0.02 0
"disete" 0.02 0 0 0
"dispose" 0 0 0 0.02
"dist" 0 0.02 0 0
"dist-ele" 0 0.02 0 0
"distraction" 0.02 0 0 0
"distraire" 0 0.02 0 0
"dit-il" 0 0 0 0.02
"dites-moi" 0 0 0.02 0
"diverse" 0 0 0 0.02
"diverses" 0.02 0 0 0
"divertir" 0 0.02 0 0
"divins" 0 0.02 0 0
"doie" 0 0 0 0.02
"doigt" 0 0.02 0 0
"dois" 0 0.02 0 0
"dolereus" 0 0 0.02 0
"dolereuse" 0.02 0 0 0
"dolereuses" 0 0.02 0 0
"dolors" 0 0 0 0.02
"domage" 0.02 0 0 0
"domages" 0 0 0 0.02
"domaines" 0 0 0 0.02
"dompté" 0 0 0.02 0
"donna" 0 0.02 0 0
"donnai" 0 0 0.02 0
"donnait" 0 0 0.02 0
"donnasse-ge" 0 0 0 0.02
"donnassent" 0 0 0.02 0
"donne" 0 0 0 0.02
"donné" 0 0.02 0 0
"donnent" 0 0 0.02 0
"donnerait" 0 0 0 0.02
"donnerent" 0 0 0 0.02
"donnez-moi" 0 0 0.02 0
"donoiement" 0 0 0.02 0
"donroit" 0 0 0 0.02
"dontés" 0 0 0.02 0
"doré" 0 0.02 0 0
"dorées" 0 0 0.02 0
"dormais" 0.02 0 0 0
"dormoie" 0.02 0 0 0
"dortoir" 0 0 0 0.02
"doucereus" 0.02 0 0 0
"doucereux" 0.02 0 0 0
"douces" 0.02 0 0 0
"douceurs" 0 0.02 0 0
"douçor" 0 0.02 0 0
"dougié" 0 0.02 0 0
"douleurs" 0 0 0 0.02
"douloureuse" 0.02 0 0 0
"douloureux" 0 0 0.02 0
"doutance" 0 0 0.02 0
"douzième" 0 0 0.02 0
"douziesme" 0 0 0.02 0
"drapait" 0 0.02 0 0
"draper" 0.02 0 0 0
"dressait" 0.02 0 0 0
"dresse" 0.02 0 0 0
"dressée" 0.02 0 0 0
"droites" 0.02 0 0 0
"droiture" 0 0.02 0 0
"druë" 0 0 0 0.02
"dû" 0 0.02 0 0
"dui" 0 0 0.02 0
"durs" 0.02 0 0 0
"dust" 0 0.02 0 0
"dût" 0 0 0 0.02
"dût-elle" 0.02 0 0 0
"duvet" 0 0.02 0 0
"é" 0 0 0.02 0
"ébahis" 0 0 0.02 0
"ébat" 0 0.02 0 0
"ébats" 0.02 0 0 0
"ébattait" 0 0.02 0 0
"éblouie" 0 0.02 0 0
"échiele" 0 0.02 0 0
"éclatantes" 0 0.02 0 0
"éclore" 0.02 0 0 0
"écloses" 0 0.02 0 0
"écoeurant" 0 0 0 0.02
"école" 0 0 0 0.02
"écorcher" 0 0 0 0.02
"écorchèrent" 0 0 0.02 0
"écoutai" 0 0.02 0 0
"écoutant" 0 0 0 0.02
"écoute" 0 0.02 0 0
"écouté" 0 0.02 0 0
"écouter" 0.02 0 0 0
"écrit" 0 0 0 0.02
"écritures" 0.02 0 0 0
"écrivit" 0.02 0 0 0
"effacés" 0 0 0.02 0
"effaciés" 0 0 0.02 0
"efforçaient" 0 0.02 0 0
"efforcier" 0 0.02 0 0
"effort" 0 0 0 0.02
"effroie" 0.02 0 0 0
"effrontément" 0 0 0 0.02
"égal" 0 0 0 0.02
"égale" 0 0 0.02 0
"également" 0 0 0.02 0
"égaument" 0 0 0.02 0
"égayer" 0.02 0 0 0
"égorger" 0 0 0.02 0
"égosillait" 0 0.02 0 0
"égratignure" 0 0 0 0.02
"eh" 0.02 0 0 0
"éjouit" 0.02 0 0 0
"el-puet" 0 0 0 0.02
"élégance" 0 0.02 0 0
"élégant" 0 0 0.02 0
"élégante" 0 0.02 0 0
"éloigner" 0 0 0 0.02
"éloquence" 0 0 0.02 0
"émaillés" 0 0 0.02 0
"embarras" 0 0 0.02 0
"embatre" 0 0 0 0.02
"embesognée" 0 0.02 0 0
"embesoignie" 0 0.02 0 0
"emble" 0.02 0 0 0
"emblée" 0 0.02 0 0
"emblées" 0 0 0 0.02
"embloient" 0 0 0 0.02
"embracier" 0 0 0 0.02
"embrasse" 0 0 0 0.02
"émeraudes" 0 0 0.02 0
"émeus" 0 0 0.02 0
"émeut" 0 0 0.02 0
"emmaine" 0 0 0.02 0
"emmène" 0 0 0.02 0
"émouvoir" 0 0 0.02 0
"empêcher" 0 0 0.02 0
"emperieres" 0.02 0 0 0
"empire" 0 0 0.02 0
"emple" 0 0 0.02 0
"emplit" 0 0 0.02 0
"emploie" 0 0.02 0 0
"emprès" 0.02 0 0 0
"empris" 0.02 0 0 0
"émue" 0.02 0 0 0
"enarchiés" 0 0.02 0 0
"encerchier" 0 0 0 0.02
"enchanteresse" 0 0.02 0 0
"encisée" 0 0.02 0 0
"encisier" 0 0 0.02 0
"encontres" 0 0 0.02 0
"encores" 0 0.02 0 0
"enfant" 0.02 0 0 0
"enfès" 0.02 0 0 0
"enfiler" 0.02 0 0 0
"enflamme" 0 0 0.02 0
"enfoncé" 0.02 0 0 0
"engage" 0 0.02 0 0
"engoissoient" 0.02 0 0 0
"enivrant" 0.02 0 0 0
"enlaçait" 0 0.02 0 0
"enlace" 0 0 0 0.02
"enlacés" 0 0.02 0 0
"enmi" 0 0.02 0 0
"ennemie" 0.02 0 0 0
"ennui" 0 0 0 0.02
"ennuis" 0.02 0 0 0
"ennuit" 0 0.02 0 0
"enragier" 0 0 0.02 0
"ensement" 0 0 0.02 0
"enserre" 0 0 0.02 0
"entaillie" 0 0.02 0 0
"entaillié" 0.02 0 0 0
"entailliés" 0 0 0.02 0
"entalenté" 0 0 0 0.02
"entamer" 0 0 0.02 0
"entasse" 0 0 0 0.02
"entencion" 0 0 0.02 0
"entend" 0.02 0 0 0
"entendant" 0 0 0 0.02
"ententis" 0 0.02 0 0
"entortille" 0.02 0 0 0
"entortillée" 0.02 0 0 0
"entourait" 0 0.02 0 0
"entourèrent" 0 0 0 0.02
"entraient" 0 0 0 0.02
"entrailles" 0 0 0.02 0
"entraînants" 0 0.02 0 0
"entramoient" 0 0 0.02 0
"entrasse" 0 0.02 0 0
"entrast" 0 0.02 0 0
"entrebaisassent" 0 0.02 0 0
"entrebaiser" 0 0.02 0 0
"entrecil" 0 0.02 0 0
"entrecombatoient" 0 0 0 0.02
"entregetoient" 0 0.02 0 0
"entremetre" 0 0 0 0.02
"entreportoient" 0 0 0.02 0
"entreprit" 0 0 0.02 0
"entresuelent" 0 0 0.02 0
"entrevéismes" 0 0 0.02 0
"entrevendissent" 0 0 0 0.02
"entrevuelent" 0 0 0.02 0
"entrez" 0 0 0.02 0
"entroient" 0 0 0 0.02
"entroit" 0 0.02 0 0
"envenimée" 0.02 0 0 0
"envers" 0 0.02 0 0
"enviellira" 0.02 0 0 0
"enviellist" 0.02 0 0 0
"envieus" 0 0.02 0 0
"envoia" 0 0 0.02 0
"envoie" 0 0 0 0.02
"envoise" 0.02 0 0 0
"envoisie" 0 0.02 0 0
"envoisiement" 0 0.02 0 0
"envoisier" 0.02 0 0 0
"envoya" 0 0 0.02 0
"épaisse" 0 0 0.02 0
"épargnes" 0 0 0 0.02
"épave" 0.02 0 0 0
"épouse" 0 0 0 0.02
"épousèrent" 0 0 0.02 0
"épouvantables" 0 0 0.02 0
"épreuve" 0 0 0 0.02
"éprise" 0 0 0.02 0
"éprouvai" 0 0 0 0.02
"épuisé" 0 0.02 0 0
"épuiser" 0.02 0 0 0
"erbe" 0 0.02 0 0
"erbes" 0.02 0 0 0
"erragier" 0 0 0.02 0
"es" 0 0 0 0.02
"ès" 0 0 0.02 0
"esbahis" 0 0 0 0.02
"esbaïs" 0 0 0.02 0
"esbanoiant" 0.02 0 0 0
"esbanoier" 0 0.02 0 0
"esbat" 0 0.02 0 0
"esbatant" 0.02 0 0 0
"esbatoit" 0 0.02 0 0
"escamotage" 0.02 0 0 0
"escamoteuses" 0 0.02 0 0
"eschapée" 0 0 0 0.02
"eschaper" 0 0 0 0.02
"eschaufé" 0 0 0.02 0
"eschiele" 0 0.02 0 0
"esclave" 0 0 0.02 0
"escole" 0 0 0 0.02
"escoles" 0 0.02 0 0
"escorchier" 0 0 0.02 0
"escorserent" 0 0 0.02 0
"escoutai" 0 0.02 0 0
"escoutant" 0.02 0 0 0
"escoute" 0 0.02 0 0
"escrist" 0.02 0 0 0
"escrit" 0 0 0.02 0
"escrite" 0.02 0 0 0
"escritures" 0.02 0 0 0
"esgaie" 0.02 0 0 0
"esgaier" 0.02 0 0 0
"esgaïer" 0 0.02 0 0
"esgardast" 0 0 0 0.02
"esgarde" 0 0 0.02 0
"esgardéure" 0.02 0 0 0
"esgratiner" 0.02 0 0 0
"esjoïr" 0 0.02 0 0
"eslever" 0 0 0 0.02
"eslire" 0 0 0 0.02
"eslite" 0 0 0 0.02
"eslurent" 0 0 0 0.02
"esmai" 0 0 0.02 0
"esmailliés" 0 0 0.02 0
"esmay" 0 0.02 0 0
"esmeraudes" 0 0 0.02 0
"espace" 0 0 0 0.02
"espandu" 0.02 0 0 0
"espanduë" 0.02 0 0 0
"espées" 0 0 0 0.02
"esperance" 0 0 0 0.02
"esperitables" 0 0.02 0 0
"esperitel" 0 0.02 0 0
"espernes" 0 0 0 0.02
"espesse" 0 0 0.02 0
"espousé" 0 0 0.02 0
"espouser" 0 0 0.02 0
"esprise" 0 0 0.02 0
"esprové" 0 0 0.02 0
"esprovées" 0 0 0 0.02
"esprover" 0 0 0 0.02
"esqueuë" 0 0 0 0.02
"esrage" 0.02 0 0 0
"esrese" 0.02 0 0 0
"essaierait" 0.02 0 0 0
"essauciés" 0 0.02 0 0
"essor" 0 0 0.02 0
"estant" 0 0.02 0 0
"estomac" 0.02 0 0 0
"estorniaus" 0 0.02 0 0
"estrange" 0 0 0.02 0
"estrangier" 0 0 0 0.02
"estroitement" 0 0.02 0 0
"estudie" 0 0 0 0.02
"estudieuse" 0 0 0.02 0
"esvertue" 0.02 0 0 0
"étendu" 0.02 0 0 0
"étendue" 0 0.02 0 0
"éternelle" 0 0.02 0 0
"étincelante" 0 0.02 0 0
"étourneaux" 0 0.02 0 0
"étroit" 0 0.02 0 0
"étroite" 0 0 0.02 0
"étroitement" 0 0 0 0.02
"étudiant" 0.02 0 0 0
"étudier" 0 0 0 0.02
"étudiera" 0 0 0 0.02
"étudierait" 0 0 0.02 0
"étui" 0.02 0 0 0
"éu" 0.02 0 0 0
"éur" 0 0 0 0.02
"eure" 0 0.02 0 0
"eurent" 0 0 0 0.02
"éurs" 0 0 0 0.02
"éus" 0 0 0.02 0
"eusse" 0 0.02 0 0
"éussent" 0 0 0 0.02
"eût-elle" 0 0.02 0 0
"euvre" 0 0 0.02 0
"éveille" 0.02 0 0 0
"évertue" 0.02 0 0 0
"évidente" 0.02 0 0 0
"examinait" 0.02 0 0 0
"excès" 0 0 0 0.02
"excitée" 0 0 0 0.02
"excusacion" 0 0 0.02 0
"excuse" 0 0 0.02 0
"exécutors" 0 0 0.02 0
"exigeait" 0 0 0.02 0
"existence" 0 0 0 0.02
"expire" 0.02 0 0 0
"extase" 0 0.02 0 0
"extérieures" 0 0.02 0 0
"extraire" 0.02 0 0 0
"face-l" 0 0 0.02 0
"facilement" 0 0 0 0.02
"façonnèrent" 0 0 0 0.02
"fai-ge" 0 0 0.02 0
"faillans" 0 0 0 0.02
"failloient" 0 0.02 0 0
"faim" 0 0.02 0 0
"fain" 0.02 0 0 0
"faint" 0 0 0.02 0
"faisaient" 0 0.02 0 0
"faisoient" 0 0.02 0 0
"faiture" 0 0 0 0.02
"fallacieux" 0 0 0.02 0
"fallut" 0 0 0 0.02
"fameuse" 0.02 0 0 0
"fanfeluës" 0 0 0.02 0
"fantaisie" 0 0.02 0 0
"farouche" 0 0 0.02 0
"fassiez" 0 0 0.02 0
"fatale" 0 0.02 0 0
"fauces" 0 0 0 0.02
"faucon" 0 0.02 0 0
"faucons" 0 0.02 0 0
"faudroit-il" 0 0 0.02 0
"fausist" 0 0 0 0.02
"fausses" 0 0 0 0.02
"fausseté" 0 0 0.02 0
"faute" 0 0 0 0.02
"fautre" 0 0 0.02 0
"faveles" 0.02 0 0 0
"feingne" 0 0 0 0.02
"feint" 0 0 0.02 0
"feinte" 0 0.02 0 0
"feintes" 0 0 0 0.02
"feist" 0 0.02 0 0
"félicité" 0.02 0 0 0
"félonne" 0 0 0 0.02
"felonnesse" 0 0 0 0.02
"felons" 0.02 0 0 0
"femmes" 0 0 0.02 0
"fendre" 0 0.02 0 0
"fenestres" 0 0 0.02 0
"fenêtres" 0 0 0.02 0
"fenoil" 0 0.02 0 0
"fenouil" 0 0.02 0 0
"fera-t-elle" 0 0 0.02 0
"ferai" 0 0 0.02 0
"ferez" 0 0 0.02 0
"feri" 0 0.02 0 0
"fermails" 0 0 0.02 0
"fermerent" 0 0 0 0.02
"feront" 0 0 0.02 0
"ferréure" 0 0 0.02 0
"ferréures" 0 0 0.02 0
"fesnie" 0 0 0.02 0
"festons" 0 0.02 0 0
"fet" 0 0.02 0 0
"fêtaient" 0.02 0 0 0
"fête" 0 0 0.02 0
"féture" 0.02 0 0 0
"fétus" 0 0 0.02 0
"feuille" 0.02 0 0 0
"fidèles" 0 0 0 0.02
"fiert" 0 0 0.02 0
"figures" 0.02 0 0 0
"fils" 0 0 0.02 0
"filz" 0 0 0.02 0
"finoient" 0 0.02 0 0
"firent-il" 0 0 0.02 0
"fis" 0 0.02 0 0
"fis-ge" 0 0 0 0.02
"flame" 0 0 0 0.02
"flatant" 0 0 0.02 0
"flatteurs" 0 0 0.02 0
"flattez-la" 0 0 0 0.02
"fléau" 0 0 0.02 0
"fletris" 0.02 0 0 0
"fleur" 0.02 0 0 0
"fleurir" 0.02 0 0 0
"fleurs" 0.02 0 0 0
"fléutéors" 0 0.02 0 0
"fleuve" 0.02 0 0 0
"florete" 0 0 0 0.02
"florie" 0.02 0 0 0
"florissantes" 0 0.02 0 0
"florissoient" 0.02 0 0 0
"flors" 0.02 0 0 0
"flûteurs" 0 0.02 0 0
"foille" 0.02 0 0 0
"foisonner" 0.02 0 0 0
"folages" 0 0.02 0 0
"fole" 0 0 0 0.02
"foles" 0 0 0.02 0
"follement" 0 0 0.02 0
"folles" 0 0 0.02 0
"folor" 0.02 0 0 0
"fondent" 0 0 0 0.02
"fondoit" 0.02 0 0 0
"fondrait" 0.02 0 0 0
"fons" 0.02 0 0 0
"forcenerie" 0 0 0.02 0
"forcer" 0 0 0.02 0
"forces" 0 0 0.02 0
"forfait" 0 0 0 0.02
"forfaits" 0 0 0.02 0
"formant" 0 0 0.02 0
"formée" 0 0 0 0.02
"formés" 0 0.02 0 0
"fornicacion" 0 0 0.02 0
"fornication" 0 0 0.02 0
"forrée" 0.02 0 0 0
"fortifiées" 0 0 0 0.02
"forts" 0 0 0 0.02
"fortune" 0 0 0 0.02
"fossete" 0 0.02 0 0
"fossette" 0 0.02 0 0
"foulée" 0.02 0 0 0
"fourbe" 0.02 0 0 0
"fourberie" 0 0 0.02 0
"fourrée" 0.02 0 0 0
"fous" 0 0 0.02 0
"fraîche" 0 0.02 0 0
"fraîchement" 0 0.02 0 0
"fraîches" 0 0.02 0 0
"franchi" 0.02 0 0 0
"franchir" 0 0.02 0 0
"franchise" 0 0 0.02 0
"frans" 0 0 0 0.02
"frape" 0 0 0.02 0
"frappai" 0 0.02 0 0
"frappait" 0 0.02 0 0
"frappe" 0 0 0.02 0
"frarin" 0.02 0 0 0
"frayé" 0 0.02 0 0
"frénésie" 0.02 0 0 0
"fresche" 0 0.02 0 0
"freschement" 0 0.02 0 0
"fripon" 0 0.02 0 0
"froid" 0.02 0 0 0
"froisse" 0 0 0.02 0
"fronce" 0 0.02 0 0
"froncé" 0.02 0 0 0
"fronces" 0.02 0 0 0
"froncié" 0.02 0 0 0
"fu-ge" 0 0 0.02 0
"fuer" 0.02 0 0 0
"fust-ele" 0 0 0.02 0
"fûtes" 0 0 0.02 0
"gage" 0.02 0 0 0
"gagner" 0.02 0 0 0
"gaie" 0 0.02 0 0
"galanterie" 0 0.02 0 0
"gallendes" 0 0 0.02 0
"garant" 0.02 0 0 0
"gardaient" 0 0.02 0 0
"gardast" 0 0 0 0.02
"gardés" 0 0 0 0.02
"garent" 0 0 0.02 0
"garentir" 0 0 0.02 0
"garie" 0 0 0 0.02
"garisse" 0 0.02 0 0
"garnis" 0.02 0 0 0
"garnitures" 0 0 0.02 0
"gas" 0 0.02 0 0
"gaste" 0.02 0 0 0
"gastée" 0.02 0 0 0
"gauche" 0.02 0 0 0
"gaus" 0 0.02 0 0
"gazouillant" 0 0.02 0 0
"gazouillante" 0.02 0 0 0
"geai" 0 0.02 0 0
"genne" 0 0 0 0.02
"gentille" 0.02 0 0 0
"gentilles" 0 0.02 0 0
"gentîment" 0 0.02 0 0
"gents" 0 0 0 0.02
"genz" 0 0 0.02 0
"gestes" 0 0 0.02 0
"geu" 0 0 0 0.02
"geuë" 0 0 0 0.02
"giete" 0 0 0 0.02
"gieu" 0 0 0 0.02
"gieus" 0 0 0.02 0
"glisser" 0 0 0 0.02
"gloire" 0 0.02 0 0
"gloriole" 0 0.02 0 0
"gobe" 0.02 0 0 0
"gonele" 0 0 0.02 0
"gorge" 0 0.02 0 0
"gorgete" 0 0.02 0 0
"gourmande" 0 0 0.02 0
"goute" 0.02 0 0 0
"goûté" 0 0.02 0 0
"goutte" 0.02 0 0 0
"gouverne" 0 0 0.02 0
"governe" 0 0 0.02 0
"gracieuse" 0 0.02 0 0
"graindre" 0 0 0.02 0
"gravé" 0.02 0 0 0
"gravele" 0.02 0 0 0
"gravelle" 0.02 0 0 0
"graves" 0 0.02 0 0
"greignor" 0 0 0 0.02
"greignors" 0 0 0 0.02
"grêle" 0.02 0 0 0
"grenon" 0 0.02 0 0
"gresles" 0 0.02 0 0
"greslete" 0.02 0 0 0
"groce" 0 0 0.02 0
"grocete" 0 0.02 0 0
"groucié" 0 0 0 0.02
"guérie" 0 0 0 0.02
"guerpisse" 0 0 0 0.02
"guerres" 0 0 0.02 0
"guêtres" 0 0 0.02 0
"guidant" 0 0 0.02 0
"guie" 0 0 0.02 0
"guisarmes" 0 0 0 0.02
"guise" 0 0.02 0 0
"habitent" 0 0.02 0 0
"habitude" 0.02 0 0 0
"haches" 0 0 0 0.02
"haies" 0 0.02 0 0
"haïnes" 0 0 0.02 0
"haïr" 0 0 0 0.02
"haïssent" 0 0 0 0.02
"hait" 0 0 0.02 0
"halaissent" 0 0.02 0 0
"hâle" 0 0.02 0 0
"haoit" 0 0.02 0 0
"hapée" 0 0 0 0.02
"hardi" 0 0 0.02 0
"hardie" 0 0 0.02 0
"hardis" 0 0 0.02 0
"harmonie" 0.02 0 0 0
"harmonieux" 0 0.02 0 0
"hart" 0 0 0.02 0
"haste" 0 0 0.02 0
"hauciés" 0 0 0.02 0
"hauts" 0 0 0.02 0
"héberger" 0 0.02 0 0
"hébétée" 0.02 0 0 0
"herbergier" 0 0.02 0 0
"hericiés" 0 0 0 0.02
"hérissé" 0 0 0 0.02
"héritage" 0.02 0 0 0
"herites" 0.02 0 0 0
"hermine" 0.02 0 0 0
"héros" 0 0 0.02 0
"hers" 0 0 0.02 0
"hésiter" 0 0.02 0 0
"heures" 0 0.02 0 0
"heureuse" 0 0.02 0 0
"heurta" 0 0.02 0 0
"heurtait" 0.02 0 0 0
"hideur" 0.02 0 0 0
"hideusement" 0.02 0 0 0
"hideux" 0.02 0 0 0
"hirondelles" 0 0.02 0 0
"histoires" 0 0 0 0.02
"hoirs" 0 0 0 0.02
"honneurs" 0 0.02 0 0
"honni" 0 0.02 0 0
"honteus" 0 0.02 0 0
"honteux" 0 0.02 0 0
"horreur" 0.02 0 0 0
"horribles" 0 0 0.02 0
"housiaus" 0 0 0.02 0
"hui" 0 0.02 0 0
"humble" 0 0 0.02 0
"humeur" 0 0 0 0.02
"humide" 0 0 0.02 0
"humilie" 0 0 0 0.02
"hurte" 0 0 0.02 0
"hurtoit" 0.02 0 0 0
"iaue" 0.02 0 0 0
"ice" 0.02 0 0 0
"icel" 0 0.02 0 0
"iceli" 0.02 0 0 0
"icelle" 0 0 0 0.02
"ici-bas" 0 0 0.02 0
"ierent" 0 0 0 0.02
"iert-ele" 0.02 0 0 0
"iex" 0 0 0 0.02
"ilecques" 0.02 0 0 0
"illec" 0 0.02 0 0
"illuminait" 0.02 0 0 0
"ilueques" 0 0.02 0 0
"immense" 0.02 0 0 0
"immobile" 0 0.02 0 0
"importe" 0 0 0 0.02
"imposèrent" 0 0 0 0.02
"imprudent" 0 0 0 0.02
"impudence" 0 0 0 0.02
"incessante" 0 0 0.02 0
"inconnue" 0 0.02 0 0
"indes" 0.02 0 0 0
"indicible" 0.02 0 0 0
"inerte" 0.02 0 0 0
"infidèle" 0 0 0 0.02
"infinie" 0 0.02 0 0
"ingrate" 0 0 0.02 0
"inondé" 0 0.02 0 0
"insulte" 0 0 0 0.02
"intimes" 0 0.02 0 0
"iolé" 0 0 0.02 0
"irez" 0 0 0.02 0
"irrésolue" 0.02 0 0 0
"irriter" 0 0 0 0.02
"issoit" 0 0 0.02 0
"issue" 0 0.02 0 0
"itel" 0 0.02 0 0
"ivoire" 0 0 0.02 0
"ivre" 0 0 0 0.02
"ivresse" 0.02 0 0 0
"ivrogne" 0 0 0.02 0
"jactance" 0 0 0.02 0
"jalouse" 0 0 0 0.02
"jaunice" 0.02 0 0 0
"jaunisse" 0.02 0 0 0
"jeter" 0 0 0 0.02
"jeuner" 0 0.02 0 0
"jeûner" 0 0.02 0 0
"jeux" 0 0.02 0 0
"jherusalen" 0 0.02 0 0
"joel" 0 0 0 0.02
"joiens" 0 0.02 0 0
"joïr" 0 0 0.02 0
"jolieté" 0 0.02 0 0
"jolif" 0 0.02 0 0
"jolis" 0.02 0 0 0
"jolive" 0 0.02 0 0
"jolives" 0 0 0 0.02
"jone" 0 0 0 0.02
"jongleur" 0 0 0.02 0
"jongleurs" 0 0.02 0 0
"jonglierres" 0 0 0.02 0
"jorrés" 0 0 0 0.02
"jorroit" 0 0 0 0.02
"jougléors" 0 0.02 0 0
"jouir" 0 0 0.02 0
"jouissance" 0 0.02 0 0
"jouvenceaux" 0.02 0 0 0
"joyau" 0 0 0 0.02
"joyeux" 0.02 0 0 0
"jupon" 0 0.02 0 0
"jurent" 0.02 0 0 0
"jurer" 0 0 0 0.02
"jusques" 0 0 0.02 0
"jusques-ci" 0 0 0 0.02
"juste" 0.02 0 0 0
"justice" 0 0 0 0.02
"kalandre" 0.02 0 0 0
"karolaient" 0 0.02 0 0
"karolasse" 0 0.02 0 0
"karoloient" 0 0.02 0 0
"lacérée" 0.02 0 0 0
"lacets" 0 0.02 0 0
"lâches" 0 0 0 0.02
"lacs" 0 0 0.02 0
"laid" 0.02 0 0 0
"laideron" 0 0 0 0.02
"laine" 0.02 0 0 0
"laisser" 0 0 0 0.02
"langage" 0.02 0 0 0
"langue" 0.02 0 0 0
"langueur" 0.02 0 0 0
"languit" 0.02 0 0 0
"larcin" 0 0 0.02 0
"larcins" 0 0 0.02 0
"larder" 0 0 0.02 0
"lardereles" 0 0.02 0 0
"larges" 0 0 0.02 0
"larmoie" 0 0 0 0.02
"larrecin" 0 0 0.02 0
"larrecins" 0 0 0.02 0
"lassées" 0 0.02 0 0
"latin" 0 0 0.02 0
"lavé" 0.02 0 0 0
"lé" 0.02 0 0 0
"léauté" 0.02 0 0 0
"ledement" 0.02 0 0 0
"ledes" 0 0 0 0.02
"légataire" 0 0 0 0.02
"légendes" 0 0.02 0 0
"legier" 0 0 0 0.02
"légier" 0 0.02 0 0
"legierement" 0 0 0 0.02
"legiers" 0 0 0.02 0
"lent" 0 0 0 0.02
"lente" 0.02 0 0 0
"lés" 0 0.02 0 0
"leschéor" 0 0 0.02 0
"lesse" 0 0 0 0.02
"lessier" 0 0 0 0.02
"lessierent" 0 0 0.02 0
"lessu" 0.02 0 0 0
"lestement" 0 0.02 0 0
"letre" 0 0 0 0.02
"levai" 0.02 0 0 0
"levain" 0.02 0 0 0
"lever" 0 0 0.02 0
"lez" 0 0 0 0.02
"libre" 0 0 0.02 0
"lie" 0.02 0 0 0
"lié" 0.02 0 0 0
"lien" 0 0 0.02 0
"lierent" 0 0 0 0.02
"liesce" 0 0.02 0 0
"lieux" 0 0 0 0.02
"lignage" 0.02 0 0 0
"lignel" 0 0.02 0 0
"lion" 0 0 0.02 0
"lionceaux" 0 0 0 0.02
"lionne" 0 0 0 0.02
"lionnesse" 0 0 0 0.02
"lis" 0.02 0 0 0
"lisans" 0.02 0 0 0
"lisant" 0.02 0 0 0
"listés" 0 0 0 0.02
"livrait" 0 0.02 0 0
"loant" 0 0 0 0.02
"lobes" 0.02 0 0 0
"loés" 0.02 0 0 0
"loheregne" 0 0.02 0 0
"loherenges" 0 0.02 0 0
"loial" 0 0 0 0.02
"loiauté" 0 0 0 0.02
"loignet" 0 0.02 0 0
"loin" 0 0.02 0 0
"lointaine" 0 0 0.02 0
"lointiengne" 0 0 0 0.02
"lonc" 0 0 0.02 0
"longs" 0 0 0.02 0
"lontains" 0 0 0 0.02
"lorraines" 0 0.02 0 0
